PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C,Union Council,UC_C
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Korai,200205
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Kotla Saidan,200206
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Lachhra,200207
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Lunda Sharif,200208
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Mahra,200209
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Malana,200210
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Mandhra,200211
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Miran,200212
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Muriali,200213
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Naivela,200214
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Paniala Town,200215
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Paroa,200216
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Ratta Kulachi,200217
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Shor Kot,200218
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Wanda Khan Mohammad,200219
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Yarik,200220
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Zindani,200221
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Aral Hathi Khel,200077
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Asperka Waziran,200078
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Baharat,200079
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Bizan Khel,200080
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Kakki,200081
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Karab Kala,200082
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Khojari,200083
Khyber Pakhtunkhwa,2,Bannu,202,Domel,20202,Serai Nauring,200084
Khyber Pakhtunkhwa,2,Buner,204,Gagra,20404,Dewana Bala,200118
Khyber Pakhtunkhwa,2,Buner,204,Gagra,20404,Gagra,200119
Khyber Pakhtunkhwa,2,Buner,204,Gagra,20404,Norezai,200120
Khyber Pakhtunkhwa,2,Buner,204,Gagra,20404,Rega,200121
Khyber Pakhtunkhwa,2,Buner,204,Gagra,20404,Shalbandai,200122
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Bait Gali,200251
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Ghazi,200252
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Kotehra,200253
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Kundi,200254
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Nara Amazai,200255
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Qazi Pur,200256
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Siri Kot,200257
Khyber Pakhtunkhwa,2,Haripur,209,Ghazi,20901,Tarbela,200258
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Ali Khan,200259
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Bagra,200260
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Baka,200261
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Bandi Sher Khan,200262
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Bareela,200263
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Barkot,200264
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Bherrary,200265
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Bir,200266
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Darwesh,200267
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Dheenda,200268
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Dingi,200269
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Hattar,200270
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Jabri,200271
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Jatti Pind,200272
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Kalinjar,200273
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Khan Pur,200274
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Kholian Bala,200275
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Kot Najibullah,200276
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Ladar Mang,200277
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Manakrai,200278
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Maqsood,200279
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Najaf Pur,200280
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Pandik,200281
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Panian,200282
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Pind Hasham Khan,200283
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Pind Kamal Khan,200284
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Rehana,200285
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Sarai Niamat Khan,200286
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Sarai Saleh,200287
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Sikander Pur,200288
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Sirya,200289
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Tofkian,200290
Khyber Pakhtunkhwa,2,Haripur,209,Haripur,20902,Urban,200291
Khyber Pakhtunkhwa,2,Swat,222,Kabal,22205,Bar Aba Khel Kabal,200790
Khyber Pakhtunkhwa,2,Swat,222,Kabal,22205,Barabandi,200791
Khyber Pakhtunkhwa,2,Swat,222,Kabal,22205,Devli,200792
Khyber Pakhtunkhwa,2,Swat,222,Kabal,22205,Hazara,200793
Khyber Pakhtunkhwa,2,Swat,222,Kabal,22205,Kalakalay,200794
Khyber Pakhtunkhwa,2,Swat,222,Kabal,22205,Kanjo,200795
