PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C
Balochistan,7,Dera Bugti,705,Phelawagh,70502
Balochistan,7,Washuk,729,Washuk,72904
Balochistan,7,Kech,712,Balnigor,71201
Balochistan,7,Panjgur,724,Panjgur,72402
Balochistan,7,Awaran,701,Awaran,70101
Balochistan,7,Awaran,701,Mashkai,70103
Balochistan,7,Khuzdar,714,Zehri,71404
Balochistan,7,Las Bela,718,Hub,71804
Balochistan,7,Las Bela,718,Bela,71801
Balochistan,7,Las Bela,718,Lakhra,71806
Balochistan,7,Khuzdar,714,Khuzdar,71401
Balochistan,7,Washuk,729,Nag,72903
Balochistan,7,Barkhan,702,Barkhan,70201
Balochistan,7,Jaffarabad,708,Gandakha,70801
Balochistan,7,Jaffarabad,708,Jhat Pat,70802
Balochistan,7,Jaffarabad,708,Sohbatpur,70803
Balochistan,7,Jaffarabad,708,Usta Muhammad,70804
Balochistan,7,Killa Saifullah,716,Badinai,71601
Balochistan,7,Killa Saifullah,716,Kan Mehtarzai,71602
Balochistan,7,Killa Saifullah,716,Killa Saifullah,71603
Balochistan,7,Killa Saifullah,716,Loi Band,71604
Balochistan,7,Killa Saifullah,716,Muslim Bagh,71605
Balochistan,7,Killa Saifullah,716,Shinkai,71606
Balochistan,7,Kohlu,717,Kahan,71701
Balochistan,7,Kohlu,717,Kohlu,71702
Balochistan,7,Kohlu,717,Mawand,71703
Balochistan,7,Loralai,719,Duki,71901
Balochistan,7,Loralai,719,Loralai,71902
Balochistan,7,Nasirabad,722,Baba kot,72201
Balochistan,7,Nasirabad,722,Chattar,72202
Balochistan,7,Nasirabad,722,Dera murad jamali,72203
Balochistan,7,Nasirabad,722,Tamboo,72204
Balochistan,7,Sibi,728,Kut Mandai,72801
Balochistan,7,Sibi,728,Lehri,72802
Balochistan,7,Sibi,728,Sangan,72803
Balochistan,7,Sibi,728,Sibi,72804
